Star Rating,Review Title,Review Description
5.0 out of 5 stars,"Great product super clean easy install, for anyone","This stand is very well built and engineered. I am seriously not kidding. I got things to do, but when a product is made and designed very well, I believe I have a choice. I chose to do the right thing and let others know about them.I’m a mechanical guy by trade. I won’t lie to anyone. I have to really stress this through. It was 0 of my own mechanical abilities that put this together. I have done many TV mounts for family ever since they came out. The first ones too, when all the ones people could afford it was a very lucky day if you received English ones and if you did, if they even made sense.I’ll be brief, I truly believe any teenager or adult that can turn a screw driver and and Alan key can put this together . Male or female, no matter. I did a brand new pioneer 43in on it today by myself and I’m retired and disabled now. If you’re TV is bigger than your will need one more person to hold the Television while making the final attachment to the top. 5 minutes TOPS. The rest is one person. I’m retired because of falling from 3 stories and half a century. I had 0 issues.Everything fits the way it should. All the hardware you could need for the sizes of tv specified are there. The instructions are super simple and have nice illustrations that make for ease of installation for anyone. If I buy another new TV this stand will be purchased with it. It’s clean has a shelf, Velcro straps to hide wires. This thing was made correctly. Point blank. $40 bucks and a sturdy clean looking install, way worth it for me.I don’t have any affiliation with this company and there not giving me a prize. I thought I would just let people know wassup, because I believe it’s the right thing to do PERIOD.Read more"
5.0 out of 5 stars,Compact and fairly sturdy!,"This is a great compact stand for people who are short on space (living in apartments or dorms) and want to have their TV tucked away when they are not using it.I mounted a 55"" TV on here and fortunately it is very stable. I have it set up on carpet and I am not worried about it falling down. I wouldn't say I feel the most comfortable with pushing the TV around for long distances because I am concerned that it is so top heavy, but I have rolled it room to room on occasion slowly and it has held up.Setting it up was fairly easy, most of it can be done by one person aside from actually mounting the TV. If you are looking to change the height of the TV often, this may not be the right option for you as it requires you to remove the TV and re-mount it onto the stand, which will take 5-10 minutes. There are essentially 2 height options that you can use here, so it's not the most versatile option of all, but I haven't found a need to adjust the height since mounting it for the first time.Overall it's great if you're looking for a stable space-saving solution to mounting your TV. It may not be the most aesthetic option, but it gets the job done.Read more"
5.0 out of 5 stars,Perfect stand for old flat screen in patio or garage.,"This is an ideal stand for patios. If you have an old TV, then buy the stand and put it in your garage or patio.Pros- the stand is cheap enough and stable enough to hold a flatscreen TV in your garage patio or even the school.Cons- takes about 20 minutes to set this thing upRead more"
4.0 out of 5 stars,Solid TV Stand — Perfect for Moving Your Screen Anywhere,"I set up the BONTEC Mobile TV Stand in my screened-in patio so I can watch games while lounging in my hot tub, and it works really well. Assembly was straightforward, and the stand feels sturdy and secure. My 32"" TV fits perfectly, and the tilt function lets me angle the screen just right without any fuss.Rolling it around is easy, which is great if I want to shift it for shade or rearrange the patio. The adjustable shelf is handy to hold the contol away from the hot tub.Why Not an A-?The only reason I knocked it down a notch is the cable management. It’s a bit tight, so thicker HDMI or power cables can be a hassle to get organized neatly. Other than that, it does exactly what I need: sturdy, mobile, and perfect for casual patio TV sessions.Read more"
5.0 out of 5 stars,Sturdy and Easy to Assemble,Easy to assemble and very sturdy. This stand is perfect for placing a TV in any room where space is limited. It holds the TV securely while helping save space without sacrificing stability. The design is clean and sleek—not bulky at all—so it doesn’t clash with the room décor. A great solution if you need a flexible and reliable TV setup.Read more
5.0 out of 5 stars,Sturdy,"It is a very nice product, unfortunately one part was just not the right size for my television. Waiting for a response from company, I like it but have not had the chance to fully use it yet due to length of mount piece. Height is good, easy to put together and beautifully crafted. Seems sturdy.Read more"
5.0 out of 5 stars,Nice for the money easy assembly.,Great stand good price point Easy to assemble Just what I needed.Read more
5.0 out of 5 stars,Great product!,This was exactly what I was looking for. Easy set up and works for exactly what I needed!Read more
5.0 out of 5 stars,"Great product super clean easy install, for anyone","This stand is very well built and engineered. I am seriously not kidding. I got things to do, but when a product is made and designed very well, I believe I have a choice. I chose to do the right thing and let others know about them.I’m a mechanical guy by trade. I won’t lie to anyone. I have to really stress this through. It was 0 of my own mechanical abilities that put this together. I have done many TV mounts for family ever since they came out. The first ones too, when all the ones people could afford it was a very lucky day if you received English ones and if you did, if they even made sense.I’ll be brief, I truly believe any teenager or adult that can turn a screw driver and and Alan key can put this together . Male or female, no matter. I did a brand new pioneer 43in on it today by myself and I’m retired and disabled now. If you’re TV is bigger than your will need one more person to hold the Television while making the final attachment to the top. 5 minutes TOPS. The rest is one person. I’m retired because of falling from 3 stories and half a century. I had 0 issues.Everything fits the way it should. All the hardware you could need for the sizes of tv specified are there. The instructions are super simple and have nice illustrations that make for ease of installation for anyone. If I buy another new TV this stand will be purchased with it. It’s clean has a shelf, Velcro straps to hide wires. This thing was made correctly. Point blank. $40 bucks and a sturdy clean looking install, way worth it for me.I don’t have any affiliation with this company and there not giving me a prize. I thought I would just let people know wassup, because I believe it’s the right thing to do PERIOD.Read more"
5.0 out of 5 stars,Compact and fairly sturdy!,"This is a great compact stand for people who are short on space (living in apartments or dorms) and want to have their TV tucked away when they are not using it.I mounted a 55"" TV on here and fortunately it is very stable. I have it set up on carpet and I am not worried about it falling down. I wouldn't say I feel the most comfortable with pushing the TV around for long distances because I am concerned that it is so top heavy, but I have rolled it room to room on occasion slowly and it has held up.Setting it up was fairly easy, most of it can be done by one person aside from actually mounting the TV. If you are looking to change the height of the TV often, this may not be the right option for you as it requires you to remove the TV and re-mount it onto the stand, which will take 5-10 minutes. There are essentially 2 height options that you can use here, so it's not the most versatile option of all, but I haven't found a need to adjust the height since mounting it for the first time.Overall it's great if you're looking for a stable space-saving solution to mounting your TV. It may not be the most aesthetic option, but it gets the job done.Read more"
